GrLivArea,SalePrice,Player,Efg,PTS
1710,208500,Bradley Beal\bealbr01,0.528,31
1262,181500,Stephen Curry\curryst01,0.61,30.7
1786,223500,Damian Lillard\lillada01,0.541,28.7
1717,140000,Giannis Antetokounmpo\antetgi01,0.596,28.5
2198,250000,Luka Don?i?\doncilu01,0.556,28.4
1362,143000,Kyrie Irving\irvinky01,0.582,27.5
1694,307000,Zach LaVine\lavinza01,0.594,27.5
2090,200000,Zion Williamson\willizi01,0.621,26.7
1774,129900,Donovan Mitchell\mitchdo01,0.52,26.4
1077,118000,Nikola Joki?\jokicni01,0.605,26.1
1040,129500,Kawhi Leonard\leonaka01,0.568,26
2324,345000,Devin Booker\bookede01,0.542,25.7
912,144000,Jayson Tatum\tatumja01,0.529,25.6
1494,279500,LeBron James\jamesle01,0.578,25.4
1253,157000,De'Aaron Fox\foxde01,0.527,25.2
854,132000,James Harden\hardeja01,0.544,25.2
1004,149000,Trae Young\youngtr01,0.495,25.2
1296,90000,Jaylen Brown\brownja02,0.566,24.6
1114,159000,Brandon Ingram\ingrabr01,0.535,24.3
1339,139000,Collin Sexton\sextoco01,0.524,24.2
2376,325300,Nikola Vu?evi?\vucevni01,0.548,24.1
1108,139400,Paul George\georgpa01,0.572,23.6
1795,230000,Julius Randle\randlju01,0.521,23.6
1060,129900,Jerami Grant\grantje01,0.494,22.6
1060,154000,Russell Westbrook\westbru01,0.476,22.1
1600,256300,Jimmy Butler\butleji01,0.511,21.4
900,134800,Malcolm Brogdon\brogdma01,0.532,21.2
1704,306000,DeMar DeRozan\derozde01,0.508,21.2
1600,207500,Jamal Murray\murraja01,0.559,21.2
520,68500,Pascal Siakam\siakapa01,0.489,20.8
1317,40000,Tobias Harris\harrito02,0.568,20.5
1228,149350,Terry Rozier\roziete01,0.569,20.4
1234,179900,Khris Middleton\middlkh01,0.551,20.2
1700,165500,Domantas Sabonis\sabondo01,0.545,19.9
1561,277500,Gordon Hayward\haywago01,0.537,19.6
2452,309000,Fred VanVleet\vanvlfr01,0.491,19.5
1097,145000,Norman Powell\powelno01,0.589,19.1
1297,153000,Bam Adebayo\adebaba01,0.568,19
1057,109000,Ja Morant\moranja01,0.478,18.8
1152,82000,John Collins\collijo01,0.594,18.2
