Player,Efg,PTS
Bradley Beal\bealbr01,0.528,31
Stephen Curry\curryst01,0.61,30.7
Damian Lillard\lillada01,0.541,28.7
Giannis Antetokounmpo\antetgi01,0.596,28.5
Luka Don?i?\doncilu01,0.556,28.4
Kyrie Irving\irvinky01,0.582,27.5
Zach LaVine\lavinza01,0.594,27.5
Zion Williamson\willizi01,0.621,26.7
Donovan Mitchell\mitchdo01,0.52,26.4
Nikola Joki?\jokicni01,0.605,26.1
Kawhi Leonard\leonaka01,0.568,26
Devin Booker\bookede01,0.542,25.7
Jayson Tatum\tatumja01,0.529,25.6
LeBron James\jamesle01,0.578,25.4
De'Aaron Fox\foxde01,0.527,25.2
James Harden\hardeja01,0.544,25.2
Trae Young\youngtr01,0.495,25.2
Jaylen Brown\brownja02,0.566,24.6
Brandon Ingram\ingrabr01,0.535,24.3
Collin Sexton\sextoco01,0.524,24.2
Nikola Vu?evi?\vucevni01,0.548,24.1
Paul George\georgpa01,0.572,23.6
Julius Randle\randlju01,0.521,23.6
Jerami Grant\grantje01,0.494,22.6
Russell Westbrook\westbru01,0.476,22.1
Jimmy Butler\butleji01,0.511,21.4
Malcolm Brogdon\brogdma01,0.532,21.2
DeMar DeRozan\derozde01,0.508,21.2
Jamal Murray\murraja01,0.559,21.2
Pascal Siakam\siakapa01,0.489,20.8
Tobias Harris\harrito02,0.568,20.5
Terry Rozier\roziete01,0.569,20.4
Khris Middleton\middlkh01,0.551,20.2
Domantas Sabonis\sabondo01,0.545,19.9
Gordon Hayward\haywago01,0.537,19.6
Fred VanVleet\vanvlfr01,0.491,19.5
Norman Powell\powelno01,0.589,19.1
Bam Adebayo\adebaba01,0.568,19
Ja Morant\moranja01,0.478,18.8
John Collins\collijo01,0.594,18.2
